name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,brand,car_age,km_per_year,price_category
Toyota Corolla Altis 1.8 VL CVT,2018.0,1650000.0,25000.0,Petrol,Dealer,Automatic,First Owner,Toyota,8.0,2777.777777777778,Luxury
Maruti Ciaz VXi Plus,2015.0,585000.0,24000.0,Petrol,Dealer,Manual,First Owner,Maruti,11.0,2000.0,Luxury
Hyundai Venue SX Opt Diesel,2019.0,1195000.0,5000.0,Diesel,Dealer,Manual,First Owner,Hyundai,7.0,625.0,Luxury
Chevrolet Enjoy TCDi LTZ 7 Seater,2013.0,200000.0,33000.0,Diesel,Individual,Manual,Second Owner,Chevrolet,13.0,2357.1428571428573,Budget
,2014.0,350000.0,60000.0,Diesel,Individual,Automatic,First Owner,,12.0,4615.384615384615,Mid-Range
Mercedes-Benz New C-Class 220 CDI AT,2013.0,1425000.0,59000.0,Diesel,Dealer,Automatic,First Owner,Mercedes-Benz,13.0,4214.285714285715,Luxury
Maruti Vitara Brezza ZDi Plus AMT,2018.0,975000.0,4500.0,Diesel,Dealer,Automatic,First Owner,Maruti,8.0,500.0,Luxury
,2014.0,350000.0,60000.0,Diesel,Dealer,Automatic,First Owner,,12.0,4615.384615384615,Mid-Range
Honda City V MT,2018.0,930000.0,14500.0,Petrol,Dealer,Manual,First Owner,Honda,8.0,1611.111111111111,Luxury
Tata Tigor 1.2 Revotron XT,2018.0,525000.0,76400.0,Petrol,Individual,Manual,First Owner,Tata,8.0,8488.888888888889,Luxury
Audi A6 2.0 TDI  Design Edition,2013.0,1735000.0,50000.0,Diesel,Dealer,Automatic,First Owner,Audi,13.0,3571.4285714285716,Luxury
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012.0,1375000.0,33800.0,Diesel,Dealer,Automatic,Second Owner,Mercedes-Benz,14.0,2253.3333333333335,Luxury
Skoda Superb Ambition 2.0 TDI CR AT,2011.0,450000.0,80000.0,Diesel,Dealer,Manual,Second Owner,Skoda,15.0,5000.0,Mid-Range
Toyota Corolla Altis G AT,2016.0,900000.0,50000.0,Petrol,Individual,Automatic,First Owner,Toyota,10.0,4545.454545454545,Luxury
Toyota Innova 2.5 G (Diesel) 7 Seater,2015.0,1300000.0,80000.0,Diesel,Individual,Manual,First Owner,Toyota,11.0,6666.666666666667,Luxury
Jeep Compass 1.4 Sport Plus BSIV,2017.5,1400000.0,10000.0,Petrol,Individual,Manual,First Owner,Jeep,8.5,1052.6315789473683,Luxury
Mercedes-Benz E-Class E 200 CGI Elegance,2010.0,850000.0,119000.0,Petrol,Dealer,Manual,First Owner,Mercedes-Benz,16.0,7000.0,Luxury
,2014.0,350000.0,60000.0,Petrol,Individual,Manual,Fourth & Above Owner,,12.0,4615.384615384615,Mid-Range
BMW 3 Series 320d Sport Line,2013.0,1550000.0,75800.0,Diesel,Dealer,Automatic,Second Owner,BMW,13.0,5414.285714285715,Luxury
Audi Q7 35 TDI Quattro Premium,2009.0,1250000.0,78000.0,Diesel,Dealer,Automatic,Third Owner,Audi,17.0,4333.333333333333,Luxury
Hyundai Elantra CRDi S,2012.0,625000.0,40000.0,Diesel,Individual,Manual,First Owner,Hyundai,14.0,2666.6666666666665,Luxury
Mahindra Scorpio 1.99 S10,2014.0,1050000.0,50000.0,Diesel,Individual,Manual,First Owner,Mahindra,12.0,3846.153846153846,Luxury
Honda City i DTEC V,2015.0,560000.0,74000.0,Diesel,Individual,Manual,Second Owner,Honda,11.0,6166.666666666667,Luxury
Maruti Wagon R VXI BS IV with ABS,2014.0,290000.0,64000.0,Petrol,Individual,Manual,Second Owner,Maruti,12.0,4923.076923076923,Mid-Range
Maruti Wagon R VXI BS IV,2014.0,275000.0,60000.0,Petrol,Individual,Manual,First Owner,Maruti,12.0,4615.384615384615,Budget
Mahindra Scorpio LX,2009.0,411000.0,120000.0,Diesel,Individual,Manual,Second Owner,Mahindra,17.0,6666.666666666667,Mid-Range
Hyundai Santro Xing GLS,2009.0,150000.0,79000.0,Petrol,Individual,Manual,Third Owner,Hyundai,17.0,4388.888888888889,Budget
Hyundai Grand i10 1.2 Kappa Asta,2019.0,500000.0,15000.0,Petrol,Individual,Manual,First Owner,Hyundai,7.0,1875.0,Luxury
Maruti Alto LXi,2014.0,100000.0,80000.0,Petrol,Individual,Manual,First Owner,Maruti,12.0,6153.846153846154,Budget
Maruti Swift Dzire VDI Optional,2017.0,725000.0,18500.0,Diesel,Dealer,Manual,First Owner,Maruti,9.0,1850.0,Luxury
Maruti Eeco 5 Seater AC BSIV,2018.0,401000.0,10200.0,Petrol,Individual,Manual,First Owner,Maruti,8.0,1133.3333333333333,Mid-Range
Hyundai i20 Sportz 1.4 CRDi,2018.0,750000.0,29000.0,Diesel,Dealer,Manual,First Owner,Hyundai,8.0,3222.222222222222,Luxury
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018.0,310000.0,28000.0,Petrol,Dealer,Manual,First Owner,Maruti,8.0,3111.1111111111113,Mid-Range
,2014.0,350000.0,60000.0,Diesel,Individual,Manual,First Owner,,12.0,4615.384615384615,Mid-Range
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014.0,465000.0,70000.0,Diesel,Dealer,Manual,First Owner,Hyundai,12.0,5384.615384615385,Mid-Range
Maruti Alto LXi,2012.0,160000.0,60000.0,Petrol,Individual,Manual,Second Owner,Maruti,14.0,4000.0,Budget
Mahindra Jeep CL 500 MDI,1996.0,250000.0,35000.0,Diesel,Individual,Manual,Second Owner,Mahindra,30.0,1129.032258064516,Budget
Honda City i DTEC VX,2014.0,675000.0,90000.0,Diesel,Dealer,Manual,First Owner,Honda,12.0,6923.076923076923,Luxury
Maruti Wagon R VXI BS IV,2013.0,275000.0,80000.0,Petrol,Dealer,Manual,First Owner,Maruti,13.0,5714.285714285715,Budget
Tata Indica DLS,2005.0,70000.0,80000.0,Diesel,Individual,Manual,First Owner,Tata,21.0,3636.3636363636365,Budget
Hyundai EON Magna Plus,2014.0,240000.0,54000.0,Petrol,Dealer,Manual,Second Owner,Hyundai,12.0,4153.846153846154,Budget
Toyota Etios GD,2014.0,525000.0,92000.0,Diesel,Dealer,Manual,First Owner,Toyota,12.0,7076.923076923077,Luxury
Maruti Alto LXi,2009.0,151000.0,66764.0,Petrol,Dealer,Manual,Second Owner,Maruti,17.0,3709.1111111111113,Budget
Maruti Alto LXi,2009.0,140000.0,100000.0,Petrol,Individual,Manual,First Owner,Maruti,17.0,5555.555555555556,Budget
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010.0,280000.0,350000.0,Diesel,Individual,Manual,Second Owner,Chevrolet,16.0,20588.235294117647,Mid-Range
Toyota Corolla Altis Diesel D4DG,2011.0,350000.0,230000.0,Diesel,Individual,Manual,First Owner,Toyota,15.0,14375.0,Mid-Range
Mahindra Scorpio 1.99 S6 Plus,2014.0,570000.0,60000.0,Diesel,Individual,Manual,First Owner,Mahindra,12.0,4615.384615384615,Luxury
,2014.0,350000.0,60000.0,Petrol,Individual,Manual,First Owner,,12.0,4615.384615384615,Mid-Range
Tata Indigo Classic Dicor,2007.0,100000.0,39000.0,Petrol,Individual,Manual,First Owner,Tata,19.0,1950.0,Budget
Toyota Innova 2.5 V Diesel 8-seater,2009.0,500000.0,120000.0,Diesel,Individual,Manual,Third Owner,Toyota,17.0,6666.666666666667,Luxury
Tata Indica Vista Quadrajet LS,2014.0,125000.0,166000.0,Diesel,Individual,Manual,Fourth & Above Owner,Tata,12.0,12769.23076923077,Budget
Maruti Swift 1.3 VXi,2006.0,130000.0,110000.0,Petrol,Individual,Manual,Third Owner,Maruti,20.0,5238.0952380952385,Budget
Ford EcoSport 1.5 Diesel Titanium BSIV,2014.0,925000.0,62091.0,Diesel,Individual,Manual,First Owner,Ford,12.0,4776.2307692307695,Luxury
Maruti Ciaz 1.3 Delta,2018.0,750000.0,60000.0,Diesel,Individual,Manual,First Owner,Maruti,8.0,6666.666666666667,Luxury
Honda Civic 1.8 V AT,2007.0,200000.0,54000.0,Petrol,Individual,Automatic,Second Owner,Honda,19.0,2700.0,Budget
Hyundai i10 Sportz 1.2,2010.0,350000.0,63000.0,Petrol,Individual,Manual,Second Owner,Hyundai,16.0,3705.8823529411766,Mid-Range
Skoda Rapid 1.5 TDI Elegance,2014.0,450000.0,120000.0,Diesel,Individual,Manual,Second Owner,Skoda,12.0,9230.76923076923,Mid-Range
Hyundai Getz GLS,2005.0,80000.0,120000.0,Petrol,Individual,Manual,Third Owner,Hyundai,21.0,5454.545454545455,Budget
,2014.0,350000.0,60000.0,Petrol,Individual,Manual,Second Owner,,12.0,4615.384615384615,Mid-Range
Hyundai Grand i10 CRDi Sportz,2015.0,450000.0,80000.0,Diesel,Individual,Manual,First Owner,Hyundai,11.0,6666.666666666667,Mid-Range
Hyundai Elite i20 Diesel Era,2019.0,650000.0,25000.0,Diesel,Individual,Manual,First Owner,Hyundai,7.0,3125.0,Luxury
Honda Amaze S i-VTEC,2016.0,495000.0,11958.0,Petrol,Dealer,Manual,First Owner,Honda,10.0,1087.090909090909,Luxury
Honda Brio S MT,2015.0,371000.0,20000.0,Petrol,Dealer,Manual,First Owner,Honda,11.0,1666.6666666666667,Mid-Range
Hyundai Creta 1.6 SX Option,2017.0,1025000.0,9000.0,Petrol,Dealer,Manual,First Owner,Hyundai,9.0,900.0,Luxury
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017.0,8150000.0,6500.0,Diesel,Dealer,Automatic,First Owner,Mercedes-Benz,9.0,650.0,Luxury
Mahindra XUV500 W8 2WD,2015.0,750000.0,70000.0,Diesel,Individual,Manual,First Owner,Mahindra,11.0,5833.333333333333,Luxury
Renault Duster 85PS Diesel RxL Optional,2013.0,600000.0,120000.0,Diesel,Individual,Manual,First Owner,Renault,13.0,8571.42857142857,Luxury
Hyundai Santro Xing XO,2007.0,80000.0,58000.0,Petrol,Dealer,Manual,Second Owner,Hyundai,19.0,2900.0,Budget
Mahindra Bolero 2011-2019 SLE,2013.0,325000.0,62200.0,Diesel,Dealer,Manual,First Owner,Mahindra,13.0,4442.857142857143,Mid-Range
Audi A6 2.0 TDI Premium Plus,2014.0,1470000.0,34000.0,Diesel,Dealer,Automatic,Second Owner,Audi,12.0,2615.3846153846152,Luxury
Fiat Avventura MULTIJET Emotion,2015.0,350000.0,53000.0,Diesel,Individual,Manual,Second Owner,Fiat,11.0,4416.666666666667,Mid-Range
Audi A8 4.2 TDI,2013.0,2800000.0,49000.0,Diesel,Individual,Automatic,First Owner,Audi,13.0,3500.0,Luxury
Datsun RediGO 1.0 S,2017.0,210000.0,15000.0,Petrol,Dealer,Manual,Second Owner,Datsun,9.0,1500.0,Budget
,2014.0,350000.0,60000.0,Petrol,Individual,Manual,First Owner,,12.0,4615.384615384615,Mid-Range
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013.0,1150000.0,53000.0,Diesel,Dealer,Manual,First Owner,Audi,13.0,3785.714285714286,Luxury
,2014.0,350000.0,60000.0,Petrol,Dealer,Automatic,First Owner,,12.0,4615.384615384615,Mid-Range
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018.0,4500000.0,40000.0,Petrol,Dealer,Automatic,First Owner,Mercedes-Benz,8.0,4444.444444444444,Luxury
BMW X1 sDrive 20d xLine,2017.0,2750000.0,30000.0,Diesel,Individual,Automatic,First Owner,BMW,9.0,3000.0,Luxury
Volvo V40 D3 R Design,2018.0,1975000.0,21000.0,Petrol,Dealer,Automatic,First Owner,Volvo,8.0,2333.3333333333335,Luxury
Maruti SX4 Zxi BSIII,2008.0,175000.0,29173.0,Petrol,Dealer,Manual,First Owner,Maruti,18.0,1535.421052631579,Budget
BMW 7 Series 730Ld,2012.0,2500000.0,30000.0,Diesel,Dealer,Automatic,First Owner,BMW,14.0,2000.0,Luxury
Mahindra Bolero Power Plus SLX,2017.0,628000.0,120000.0,Diesel,Individual,Manual,First Owner,Mahindra,9.0,12000.0,Luxury
Hyundai Sonata CRDi M/T,2010.0,600000.0,100000.0,Petrol,Individual,Manual,First Owner,Hyundai,16.0,5882.35294117647,Luxury
Nissan Micra Active XV Petrol,2017.0,399000.0,30000.0,Petrol,Individual,Manual,First Owner,Nissan,9.0,3000.0,Mid-Range
Mahindra Xylo D4,2018.0,750000.0,87000.0,Diesel,Individual,Manual,First Owner,Mahindra,8.0,9666.666666666666,Luxury
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019.0,750000.0,15000.0,Petrol,Individual,Manual,First Owner,Hyundai,7.0,1875.0,Luxury
Renault KWID RXT,2017.0,360000.0,16000.0,Petrol,Individual,Manual,First Owner,Renault,9.0,1600.0,Mid-Range
Mahindra Xylo E4 BS III,2012.0,600000.0,60000.0,Diesel,Individual,Manual,First Owner,Mahindra,14.0,4000.0,Luxury
Maruti Wagon R LXI Minor,2010.0,100000.0,60000.0,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,16.0,3529.4117647058824,Budget
Maruti SX4 ZXI MT BSIV,2011.0,250000.0,110000.0,Petrol,Individual,Manual,Third Owner,Maruti,15.0,6875.0,Budget
Renault KWID RXT,2016.0,350000.0,25000.0,Petrol,Individual,Manual,First Owner,Renault,10.0,2272.7272727272725,Mid-Range
Hyundai Creta 1.4 CRDi S,2016.0,780000.0,60000.0,Diesel,Individual,Manual,First Owner,Hyundai,10.0,5454.545454545455,Luxury
Maruti Swift Dzire VDI,2014.0,434000.0,60000.0,Diesel,Individual,Manual,Second Owner,Maruti,12.0,4615.384615384615,Mid-Range
Hyundai Verna 1.6 VTVT AT S Option,2016.0,690000.0,80000.0,Petrol,Individual,Automatic,First Owner,Hyundai,10.0,7272.727272727273,Luxury
Mahindra Scorpio LX BSIV,2014.0,555000.0,70000.0,Diesel,Individual,Manual,Second Owner,Mahindra,12.0,5384.615384615385,Luxury
Maruti SX4 Vxi BSIII,2007.0,120000.0,90000.0,Petrol,Individual,Manual,Second Owner,Maruti,19.0,4500.0,Budget
Maruti Ertiga VDI,2014.0,500000.0,120000.0,Diesel,Individual,Manual,Second Owner,Maruti,12.0,9230.76923076923,Luxury
Chevrolet Beat Diesel,2013.0,165000.0,60000.0,Diesel,Individual,Manual,First Owner,Chevrolet,13.0,4285.714285714285,Budget
Maruti Zen LX,2004.0,95000.0,50000.0,Petrol,Individual,Manual,First Owner,Maruti,22.0,2173.913043478261,Budget
Maruti Baleno Delta 1.2,2018.0,550000.0,20000.0,Petrol,Individual,Manual,First Owner,Maruti,8.0,2222.222222222222,Luxury
Maruti Swift Vdi BSIII,2007.0,100000.0,110000.0,Diesel,Individual,Manual,Fourth & Above Owner,Maruti,19.0,5500.0,Budget
Tata Nano Lx BSIV,2012.0,100000.0,50000.0,Petrol,Individual,Manual,Second Owner,Tata,14.0,3333.3333333333335,Budget
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012.0,500000.0,100000.0,Diesel,Individual,Manual,First Owner,Toyota,14.0,6666.666666666667,Luxury
,2014.0,350000.0,60000.0,Diesel,Individual,Manual,Second Owner,,12.0,4615.384615384615,Mid-Range
Hyundai Creta 1.6 CRDi SX,2016.0,840000.0,70000.0,Diesel,Individual,Manual,Second Owner,Hyundai,10.0,6363.636363636364,Luxury
Honda Amaze S i-Vtech,2016.0,490000.0,50000.0,Petrol,Individual,Manual,First Owner,Honda,10.0,4545.454545454545,Luxury
Tata Indica Vista Aqua 1.4 TDI,2010.0,125000.0,76400.0,Petrol,Individual,Manual,Second Owner,Tata,16.0,4494.117647058823,Budget
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012.0,400000.0,70000.0,Diesel,Individual,Manual,Third Owner,Chevrolet,14.0,4666.666666666667,Mid-Range
Chevrolet Cruze LTZ,2015.0,1000000.0,3600.0,Petrol,Dealer,Manual,First Owner,Chevrolet,11.0,300.0,Luxury
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015.0,530000.0,14272.0,Petrol,Dealer,Manual,First Owner,Ford,11.0,1189.3333333333333,Luxury
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017.0,840000.0,62091.0,Diesel,Dealer,Manual,First Owner,Ford,9.0,6209.1,Luxury
Hyundai i10 Sportz 1.1L,2015.0,229999.0,40000.0,Petrol,Individual,Manual,First Owner,Hyundai,11.0,3333.3333333333335,Budget
Maruti 800 Std,1998.0,40000.0,40000.0,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,28.0,1379.3103448275863,Budget
Chevrolet Spark 1.0 LS,2012.0,130000.0,80000.0,Petrol,Individual,Manual,First Owner,Chevrolet,14.0,5333.333333333333,Budget
Hyundai EON Era Plus,2015.0,200000.0,70000.0,Petrol,Individual,Manual,First Owner,Hyundai,11.0,5833.333333333333,Budget
Tata Indica Vista Aqua TDI BSIII,2011.0,120000.0,70000.0,Diesel,Individual,Manual,First Owner,Tata,15.0,4375.0,Budget
Hyundai Santro LP zipPlus,2003.0,75000.0,57000.0,Petrol,Individual,Manual,First Owner,Hyundai,23.0,2375.0,Budget
Tata Bolt Quadrajet XE,2016.0,250000.0,120000.0,Diesel,Individual,Manual,First Owner,Tata,10.0,10909.09090909091,Budget
Maruti 800 AC BSIII,2005.0,100000.0,30000.0,Petrol,Individual,Manual,First Owner,Maruti,21.0,1363.6363636363637,Budget
Hyundai EON Era Plus,2013.0,280000.0,3240.0,Petrol,Individual,Manual,Second Owner,Hyundai,13.0,231.42857142857142,Mid-Range
,2014.0,350000.0,60000.0,Petrol,Individual,Manual,First Owner,,12.0,4615.384615384615,Mid-Range
Hyundai i20 1.2 Asta,2014.0,700000.0,10000.0,Petrol,Individual,Manual,First Owner,Hyundai,12.0,769.2307692307693,Luxury
Maruti Ciaz VDi Plus,2015.0,525000.0,100000.0,Diesel,Individual,Manual,First Owner,Maruti,11.0,8333.333333333334,Luxury
,2014.0,350000.0,60000.0,Diesel,Individual,Manual,First Owner,,12.0,4615.384615384615,Mid-Range
Hyundai Santro LE,2002.0,65000.0,70000.0,Petrol,Individual,Manual,First Owner,Hyundai,24.0,2800.0,Budget
Maruti Vitara Brezza VDi,2018.0,800000.0,35000.0,Diesel,Individual,Manual,First Owner,Maruti,8.0,3888.8888888888887,Luxury
Hyundai Santro Xing XL eRLX Euro III,2007.0,75000.0,114000.0,Petrol,Individual,Manual,Second Owner,Hyundai,19.0,5700.0,Budget
Hyundai Getz 1.3 GLS,2008.0,210000.0,53772.0,Petrol,Individual,Manual,First Owner,Hyundai,18.0,2830.1052631578946,Budget
Mahindra Quanto C8,2012.0,195000.0,140000.0,Diesel,Individual,Manual,Second Owner,Mahindra,14.0,9333.333333333334,Budget
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015.0,400000.0,120000.0,Diesel,Individual,Manual,First Owner,Chevrolet,11.0,10000.0,Mid-Range
Hyundai EON Magna Plus,2012.0,350000.0,60000.0,Petrol,Individual,Manual,First Owner,Hyundai,14.0,4000.0,Mid-Range
Renault KWID RXT,2016.0,225000.0,25000.0,Petrol,Individual,Manual,First Owner,Renault,10.0,2272.7272727272725,Budget
Maruti Wagon R DUO LPG,2014.0,210000.0,90000.0,LPG,Individual,Manual,First Owner,Maruti,12.0,6923.076923076923,Budget
Maruti Wagon R LXI,2020.0,240000.0,120000.0,Petrol,Individual,Manual,First Owner,Maruti,6.0,17142.85714285714,Budget
Chevrolet Enjoy 1.3 TCDi LS 8,2015.0,200000.0,175000.0,Diesel,Individual,Manual,First Owner,Chevrolet,11.0,14583.333333333334,Budget
Chevrolet Spark 1.0 LS,2011.0,99000.0,100000.0,Petrol,Individual,Manual,Third Owner,Chevrolet,15.0,6250.0,Budget
Honda City i VTEC SV,2014.0,620000.0,50000.0,Petrol,Individual,Manual,First Owner,Honda,12.0,3846.153846153846,Luxury
Honda Amaze VX i-DTEC,2013.0,500000.0,30000.0,Diesel,Individual,Manual,First Owner,Honda,13.0,2142.8571428571427,Luxury
Jaguar XJ 5.0 L V8 Supercharged,2012.0,2550000.0,40000.0,Petrol,Individual,Automatic,Second Owner,Jaguar,14.0,2666.6666666666665,Luxury
Honda Brio E MT,2013.0,495000.0,70000.0,Petrol,Individual,Manual,Second Owner,Honda,13.0,5000.0,Luxury
Maruti Swift VVT ZXI,2017.0,550000.0,60000.0,Petrol,Individual,Manual,First Owner,Maruti,9.0,6000.0,Luxury
Tata Indigo CR4,2011.0,150000.0,155500.0,Diesel,Individual,Manual,First Owner,Tata,15.0,9718.75,Budget
Hyundai i10 Asta AT,2014.0,350000.0,50000.0,Petrol,Individual,Automatic,Second Owner,Hyundai,12.0,3846.153846153846,Mid-Range
,2014.0,350000.0,60000.0,Petrol,Individual,Manual,First Owner,,12.0,4615.384615384615,Mid-Range
Maruti Swift VDI BSIV,2015.0,275000.0,100000.0,Diesel,Individual,Manual,Third Owner,Maruti,11.0,8333.333333333334,Budget
Maruti Alto LXi,2012.0,175000.0,80000.0,Petrol,Individual,Manual,Third Owner,Maruti,14.0,5333.333333333333,Budget
,2014.0,350000.0,60000.0,Petrol,Individual,Manual,Second Owner,,12.0,4615.384615384615,Mid-Range
Renault Duster 110PS Diesel RxZ,2013.0,360000.0,90000.0,Diesel,Individual,Manual,Second Owner,Renault,13.0,6428.571428571428,Mid-Range
Hyundai Santro Xing XG,2006.0,70000.0,110000.0,Petrol,Individual,Manual,Third Owner,Hyundai,20.0,5238.0952380952385,Budget
Maruti Swift Dzire ZXI Plus,2019.0,810000.0,15000.0,Petrol,Individual,Manual,First Owner,Maruti,7.0,1875.0,Luxury
Maruti 800 AC,2007.0,95000.0,100000.0,Petrol,Individual,Manual,Second Owner,Maruti,19.0,5000.0,Budget
Maruti Alto K10 LXI CNG,2020.0,282000.0,40000.0,CNG,Individual,Manual,First Owner,Maruti,6.0,5714.285714285715,Mid-Range
Maruti 800 Std BSII,2004.0,275000.0,60000.0,Petrol,Individual,Manual,Second Owner,Maruti,22.0,2608.695652173913,Budget
Tata Nano LX SE,2013.0,72000.0,25000.0,Petrol,Individual,Manual,First Owner,Tata,13.0,1785.7142857142858,Budget
Hyundai i20 Magna 1.2,2014.0,600000.0,25000.0,Petrol,Individual,Manual,First Owner,Hyundai,12.0,1923.076923076923,Luxury
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015.0,640000.0,80000.0,Petrol,Individual,Manual,First Owner,Skoda,11.0,6666.666666666667,Luxury
Maruti Alto K10 VXI,2018.0,380000.0,22155.0,Petrol,Individual,Manual,First Owner,Maruti,8.0,2461.6666666666665,Mid-Range
Maruti Ciaz 1.4 Delta,2018.0,650000.0,70000.0,Petrol,Individual,Manual,First Owner,Maruti,8.0,7777.777777777777,Luxury
Maruti Alto LX,2009.0,150000.0,60000.0,Petrol,Individual,Manual,Second Owner,Maruti,17.0,3333.3333333333335,Budget
Hyundai i20 Asta,2009.0,350000.0,110000.0,Petrol,Individual,Manual,Second Owner,Hyundai,17.0,6111.111111111111,Mid-Range
Tata Nexon 1.2 Revotron XM,2018.0,430000.0,30000.0,Petrol,Individual,Manual,First Owner,Tata,8.0,3333.3333333333335,Mid-Range
Mahindra Bolero Power Plus SLX,2019.0,800000.0,15000.0,Diesel,Individual,Manual,First Owner,Mahindra,7.0,1875.0,Luxury
Maruti Zen D,2003.0,75000.0,100000.0,Diesel,Individual,Manual,First Owner,Maruti,23.0,4166.666666666667,Budget
Volkswagen Vento Celeste 1.5 TDI Highline AT,2016.0,650000.0,70000.0,Diesel,Individual,Automatic,First Owner,Volkswagen,10.0,6363.636363636364,Luxury
Maruti Eeco 7 Seater Standard BSIV,2017.0,390000.0,24000.0,Petrol,Individual,Manual,First Owner,Maruti,9.0,2400.0,Mid-Range
Honda City 1.5 EXI,2005.0,100000.0,120000.0,Petrol,Individual,Manual,Second Owner,Honda,21.0,5454.545454545455,Budget
Mercedes-Benz New C-Class 220 CDI AT,2013.0,1500000.0,35000.0,Diesel,Individual,Automatic,First Owner,Mercedes-Benz,13.0,2500.0,Luxury
Maruti SX4 Zxi with Leather BSIII,2007.0,175000.0,78380.0,Petrol,Individual,Manual,First Owner,Maruti,19.0,3919.0,Budget
Renault Duster 110PS Diesel RxZ,2012.0,360000.0,110000.0,Diesel,Individual,Manual,First Owner,Renault,14.0,7333.333333333333,Mid-Range
